x,y,z
0.844,-0.01589205,0
0.847,-0.01575405,0
0.85,-0.0156173,0
0.851,-0.015572,0
0.854,-0.01543685,0
0.857,-0.0153028,0
0.86,-0.0151698,0
0.863,-0.01503775,0
0.866,-0.01490655,0
0.869,-0.0147762,0
0.872,-0.0146465,0
0.875,-0.0145174,0
0.876,-0.0144745,0
0.879,-0.0143461,0
0.882,-0.01421805,0
0.885,-0.0140903,0
0.888,-0.0139627,0
0.891,-0.0138352,0
0.894,-0.0137076,0
0.897,-0.0135798,0
0.9,-0.0134517,0
0.901,-0.01340895,0
0.904,-0.01328025,0
0.907,-0.0131509,0
0.91,-0.01302085,0
0.913,-0.0128899,0
0.916,-0.0127579,0
0.919,-0.0126247,0
0.922,-0.01249015,0
0.925,-0.0123541,0
0.926,-0.0123084,0
0.929,-0.0121701,0
0.932,-0.01202985,0
0.935,-0.0118876,0
0.938,-0.01174305,0
0.941,-0.01159605,0
0.944,-0.01144645,0
0.947,-0.01129405,0
0.95,-0.0111386,0
0.951,-0.0110861,0
0.954,-0.0109263,0
0.957,-0.010763,0
0.96,-0.010596,0
0.963,-0.01042505,0
0.966,-0.0102499,0
0.969,-0.0100704,0
0.972,-0.00988625,0
0.975,-0.00969725,0
0.976,-0.0096331,0
0.979,-0.0094372,0
0.982,-0.0092358,0
0.985,-0.00902875,0
0.988,-0.00881565,0
0.991,-0.0085963,0
0.994,-0.00837045,0
0.997,-0.0081378,0
0.999,-0.00797875,0
1,-0.007899,0
